lat,lon,SAL,TPW,CLA,SST
0.008991952054202557,128.19776916503906,0.10260000079870224,63.98999786376953,0.9699999690055847,303.0199890136719
0.03496166318655014,128.1862335205078,0.1622999906539917,19.439998626708984,0.23999999463558197,299.1499938964844
-0.002970909234136343,128.20791625976562,0.053999997675418854,55.15999984741211,0.949999988079071,302.5299987792969
0.022840352728962898,128.16989135742188,0.12209999561309814,50.07999801635742,1.0,282.5799865722656
-0.017484793439507484,128.22695922851562,0.10439999401569366,23.369998931884766,1.0,297.1199951171875
0.03325042128562927,128.17478942871094,0.20029999315738678,31.09000015258789,0.9300000071525574,299.19000244140625
0.02982793189585209,128.19129943847656,0.15459999442100525,45.369998931884766,0.05999999865889549,300.6399841308594
-0.022285781800746918,128.21058654785156,0.16349999606609344,40.290000915527344,0.8499999642372131,292.3599853515625
-0.017025291919708252,128.2025909423828,0.20309999585151672,21.59000015258789,1.0,294.25
-0.02122417651116848,128.2087860107422,0.1727999895811081,35.369998931884766,1.0,292.3599853515625
