tmfc,dswrtoa,rss,dlwrsfc,rls,ulwrtoa
2026013100,312.473,139.790,290.441,-53.221,227.964
2026022800,289.894,132.805,289.809,-53.556,227.130
2026033100,279.731,123.588,296.872,-51.331,226.446
2026043000,292.882,126.546,299.015,-52.875,226.456
2026053100,305.5148624882244,134.43906458721577,307.83226805942434,-53.10354306681405,232.13309775099665
2026063000,306.9744922511072,129.518730689586,317.8205825009645,-48.069989303802735,233.79377305619857
2026072800,297.70569280133543,130.85415839758562,317.24398374378427,-49.15984036565261,233.79010306177122
