point_id,kind,tmfc,hf,var,value
sahara,temp,2026032100,12,t2m,304.674
sahara,temp,2026032100,12,tcld,0.0
sahara,temp,2026032100,18,t2m,301.691
sahara,temp,2026032100,18,tcld,0.0094019
sahara,temp,2026040700,0,t2m,286.323
sahara,temp,2026040700,0,tcld,0.0
sahara,temp,2026040700,6,t2m,282.55
sahara,temp,2026040700,6,tcld,0.623546
sahara,temp,2026040700,12,t2m,295.564
sahara,temp,2026040700,12,tcld,0.0108885
sahara,temp,2026040700,18,t2m,293.681
sahara,temp,2026040700,18,tcld,0.858759
sahara,temp,2026042300,0,t2m,295.701
sahara,temp,2026042300,0,tcld,0.0739718
sahara,temp,2026042300,6,t2m,292.103
sahara,temp,2026042300,6,tcld,0.112905
sahara,temp,2026042300,12,t2m,306.684
sahara,temp,2026042300,12,tcld,0.0
sahara,temp,2026042300,18,t2m,303.181
sahara,temp,2026042300,18,tcld,0.100919
sahara,temp,2026050900,0,t2m,300.931
sahara,temp,2026050900,0,tcld,0.576748
sahara,temp,2026050900,6,t2m,298.946
sahara,temp,2026050900,6,tcld,0.195403
sahara,temp,2026050900,12,t2m,311.569
sahara,temp,2026050900,12,tcld,0.0
sahara,temp,2026050900,18,t2m,308.896
sahara,temp,2026050900,18,tcld,0.394882
sahara,temp,2026052500,0,t2m,296.424
sahara,temp,2026052500,0,tcld,0.679183
sahara,temp,2026052500,6,t2m,295.461
sahara,temp,2026052500,6,tcld,1.0
sahara,temp,2026052500,12,t2m,306.283
sahara,temp,2026052500,12,tcld,1.0
sahara,temp,2026052500,18,t2m,304.919
sahara,temp,2026052500,18,tcld,0.270823
sahara,temp,2026061000,0,t2m,299.465
sahara,temp,2026061000,0,tcld,0.664858
sahara,temp,2026061000,6,t2m,298.874
sahara,temp,2026061000,6,tcld,0.0
sahara,temp,2026061000,12,t2m,309.696
sahara,temp,2026061000,12,tcld,0.0
sahara,temp,2026061000,18,t2m,307.933
sahara,temp,2026061000,18,tcld,0.0
sahara,temp,2026062600,0,t2m,303.092
sahara,temp,2026062600,0,tcld,0.0758332
sahara,temp,2026062600,6,t2m,299.784
sahara,temp,2026062600,6,tcld,0.34874
sahara,temp,2026062600,12,t2m,311.043
sahara,temp,2026062600,12,tcld,0.0342871
sahara,temp,2026062600,18,t2m,309.427
sahara,temp,2026062600,18,tcld,0.0
sahara,temp,2026071300,0,t2m,301.93
sahara,temp,2026071300,0,tcld,0.01
sahara,temp,2026071300,6,t2m,299.24
sahara,temp,2026071300,6,tcld,0.0
sahara,temp,2026071300,12,t2m,310.19
sahara,temp,2026071300,12,tcld,0.0
