tmfc,lat,lon,t2m,psl
2026030900,-86.2688,-33.5118,236.416,99676.5
2026030900,-64.6126,42.0139,272.235,96026.1
2026030900,-54.0322,-5.2539,274.812,100053.0
2026030900,5.1246,52.1926,300.996,100993.0
2026030900,13.2765,41.4556,298.4,100886.0
2026030900,-5.5405,85.1267,300.239,100916.0
2026030900,-58.5763,-136.9324,274.8,99675.8
2026030900,-24.1594,-4.302,296.526,101809.0
2026030900,-18.1106,117.4825,301.169,100872.0
2026030900,-16.6171,-112.267,298.398,101175.0
2026030900,28.0551,19.3057,289.36,101637.0
2026030900,44.1569,135.0991,265.65,102189.0
2026030900,5.8506,-122.1354,300.363,100792.0
2026030900,-33.0951,41.8577,293.661,102609.0
2026030900,-59.3714,48.3341,273.771,94726.2
2026030900,-27.96,-141.9073,299.566,101704.0
2026030900,-15.959,153.1564,301.869,100844.0
2026030900,-22.033,78.5401,297.47,101399.0
2026030900,-31.4523,-53.7227,291.63,101703.0
2026030900,-18.6762,-118.4332,299.343,101286.0
2026030900,50.7558,105.1937,263.583,102253.0
2026030900,31.9164,-35.7934,291.195,102500.0
2026030900,-48.2179,36.1501,280.936,100434.0
2026030900,7.8201,-81.1665,301.681,100731.0
2026030900,45.8533,-74.4682,275.469,100573.0
2026030900,16.1661,-155.5425,297.646,101212.0
2026030900,-50.292,-48.3178,279.719,101768.0
2026030900,28.27,-67.9019,295.588,102341.0
2026030900,-65.4372,43.6317,271.786,95892.6
2026030900,-37.5112,-114.6647,291.74,101278.0
2026031200,-86.2688,-33.5118,226.688,97648.7
2026031200,-64.6126,42.0139,273.689,98725.1
2026031200,-54.0322,-5.2539,274.302,99570.7
2026031200,5.1246,52.1926,300.12,101020.0
2026031200,13.2765,41.4556,300.06,100853.0
2026031200,-5.5405,85.1267,300.687,100880.0
2026031200,-58.5763,-136.9324,274.794,100027.0
2026031200,-24.1594,-4.302,296.664,101702.0
2026031200,-18.1106,117.4825,301.627,100366.0
2026031200,-16.6171,-112.267,298.337,101376.0
2026031200,28.0551,19.3057,287.403,101426.0
2026031200,44.1569,135.0991,268.821,103260.0
2026031200,5.8506,-122.1354,300.558,100899.0
2026031200,-33.0951,41.8577,294.643,102469.0
2026031200,-59.3714,48.3341,274.632,99672.8
2026031200,-27.96,-141.9073,299.705,101795.0
2026031200,-15.959,153.1564,301.552,100733.0
2026031200,-22.033,78.5401,297.75,101429.0
2026031200,-31.4523,-53.7227,293.333,101370.0
2026031200,-18.6762,-118.4332,298.804,101468.0
2026031200,50.7558,105.1937,262.644,103314.0
2026031200,31.9164,-35.7934,291.778,102965.0
2026031200,-48.2179,36.1501,280.353,101865.0
2026031200,7.8201,-81.1665,301.94,100914.0
2026031200,45.8533,-74.4682,276.301,99604.6
2026031200,16.1661,-155.5425,298.549,101226.0
2026031200,-50.292,-48.3178,282.571,101730.0
2026031200,28.27,-67.9019,295.492,102318.0
2026031200,-65.4372,43.6317,273.532,98703.0
2026031200,-37.5112,-114.6647,291.577,102158.0
2026031600,-86.2688,-33.5118,228.159,98813.9
2026031600,-64.6126,42.0139,273.034,97574.5
2026031600,-54.0322,-5.2539,274.79,100744.0
2026031600,5.1246,52.1926,301.211,100940.0
2026031600,13.2765,41.4556,299.186,100564.0
2026031600,-5.5405,85.1267,301.089,100888.0
2026031600,-58.5763,-136.9324,277.203,99581.0
2026031600,-24.1594,-4.302,296.618,101361.0
2026031600,-18.1106,117.4825,300.664,100938.0
2026031600,-16.6171,-112.267,298.643,101290.0
2026031600,28.0551,19.3057,287.611,101013.0
2026031600,44.1569,135.0991,270.867,101996.0
2026031600,5.8506,-122.1354,300.685,100891.0
2026031600,-33.0951,41.8577,296.539,102066.0
2026031600,-59.3714,48.3341,275.841,98148.4
2026031600,-27.96,-141.9073,297.913,101791.0
2026031600,-15.959,153.1564,301.437,100961.0
2026031600,-22.033,78.5401,298.365,101403.0
2026031600,-31.4523,-53.7227,297.376,100815.0
2026031600,-18.6762,-118.4332,299.416,101437.0
2026031600,50.7558,105.1937,262.74,101771.0
2026031600,31.9164,-35.7934,292.425,102522.0
2026031600,-48.2179,36.1501,280.759,101302.0
2026031600,7.8201,-81.1665,301.459,100789.0
2026031600,45.8533,-74.4682,269.0,102232.0
2026031600,16.1661,-155.5425,299.231,101156.0
2026031600,-50.292,-48.3178,284.774,100272.0
2026031600,28.27,-67.9019,296.272,102353.0
