tmfc,lat,lon,t2m,psl,SAL,TPW,CLA,SST
2026050100,22.702577590942383,136.6005859375,299.359,101614.0,0.17889998853206635,29.01999855041504,0.0,295.4700012207031
2026050100,-27.233781814575195,62.25700759887695,295.876,101794.0,0.17710000276565552,16.69999885559082,0.0,294.69000244140625
2026050100,-61.98772048950195,97.28390502929688,273.362,97889.0,0.44529998302459717,14.719999313354492,1.0,276.05999755859375
2026050100,18.127599716186523,137.02786254882812,300.278,101477.0,0.13030000030994415,28.44999885559082,0.0,301.9599914550781
2026050100,-24.158872604370117,108.27547454833984,294.986,102024.0,0.11699999868869781,37.599998474121094,0.6299999952316284,295.7900085449219
2026050100,1.7808552980422974,111.46471405029297,298.92,101040.0,0.09879999607801437,59.5099983215332,0.949999988079071,299.1000061035156
2026050100,-27.680076599121094,83.60161590576172,295.387,101823.0,0.14139999449253082,43.91999816894531,0.8700000047683716,292.7699890136719
2026050100,34.997257232666016,149.1590118408203,290.55,102272.0,0.18379999697208405,10.679999351501465,0.0,292.2900085449219
2026050100,-30.783052444458008,85.5363540649414,294.28,102032.0,0.1679999977350235,5.059999942779541,0.8700000047683716,274.8999938964844
2026050100,23.048534393310547,118.49640655517578,296.133,101568.0,0.14339999854564667,27.85999870300293,0.6299999952316284,301.04998779296875
2026050100,30.26646614074707,117.75997161865234,287.815,101591.0,0.1462000012397766,12.880000114440918,0.9300000071525574,288.8399963378906
2026050100,-40.05411911010742,78.09754180908203,290.759,101510.0,0.27079999446868896,14.109999656677246,1.0,287.3999938964844
2026050100,-23.01059341430664,93.41553497314453,296.07,101854.0,0.08320000022649765,27.979999542236328,0.9799999594688416,294.0899963378906
2026050100,-36.34825897216797,114.96842956542969,285.528,102320.0,0.14389999210834503,12.34999942779541,0.429999977350235,292.04998779296875
2026050100,-34.309356689453125,133.97573852539062,293.377,101262.0,0.11239999532699585,18.43000030517578,1.0,289.1099853515625
2026050100,-2.611743211746216,116.55924224853516,300.665,101109.0,0.12239999324083328,42.89999771118164,0.6399999856948853,302.8500061035156
2026050100,-39.430908203125,89.18959045410156,287.57,102988.0,0.16769999265670776,5.87999963760376,0.8999999761581421,281.0899963378906
2026050100,-17.436079025268555,97.43128204345703,298.507,101517.0,0.12029999494552612,48.32999801635742,0.41999998688697815,299.82000732421875
2026050100,23.342620849609375,118.26687622070312,295.506,101596.0,0.15029999613761902,29.760000228881836,0.5899999737739563,301.04998779296875
2026050100,-28.608144760131836,99.77959442138672,291.938,102605.0,0.10269999504089355,7.569999694824219,1.0,294.2900085449219
2026050100,-28.781248092651367,115.74797058105469,286.943,102025.0,0.1046999990940094,12.559999465942383,0.0,293.0400085449219
2026050100,30.972929000854492,147.8328399658203,292.871,101937.0,0.17019999027252197,16.989999771118164,0.0,302.3800048828125
2026050100,30.99822425842285,124.31836700439453,289.007,101689.0,0.12469999492168427,21.44999885559082,0.9099999666213989,287.97998046875
2026050100,-1.5043138265609741,113.40557098388672,298.294,101108.0,0.10089999437332153,46.099998474121094,0.8499999642372131,299.69000244140625
2026050100,-43.06975555419922,133.20501708984375,285.735,100799.0,0.12489999830722809,8.769999504089355,0.5099999904632568,282.55999755859375
2026050100,27.050617218017578,146.6038055419922,297.662,101820.0,0.13239999115467072,18.420000076293945,0.0,304.78997802734375
2026050100,-36.78635025024414,83.96659851074219,291.543,102313.0,0.5202999711036682,1.9900000095367432,0.9099999666213989,280.8500061035156
2026050100,-32.35673522949219,120.0179672241211,282.715,101951.0,0.12099999934434891,11.710000038146973,0.0,292.5299987792969
2026050100,-37.21356964111328,119.1968765258789,286.097,101524.0,0.13930000364780426,13.179999351501465,0.0,295.239990234375
2026050100,21.828533172607422,120.88005828857422,298.765,101468.0,0.1631999909877777,23.920000076293945,0.0,297.54998779296875
2026050500,-23.917930603027344,113.53670501708984,293.929,101841.0,0.13199999928474426,42.189998626708984,0.8799999952316284,295.3699951171875
2026050500,11.523411750793457,142.48785400390625,301.205,101077.0,0.11209999769926071,39.56999969482422,0.7599999904632568,300.5299987792969
2026050500,29.972206115722656,150.4739227294922,295.628,102154.0,0.1882999986410141,31.479999542236328,0.9300000071525574,292.55999755859375
2026050500,-2.494011402130127,111.3775634765625,298.897,100971.0,0.11699999868869781,59.28999710083008,1.0,302.07000732421875
2026050500,32.874359130859375,135.83160400390625,290.079,102167.0,0.1412999927997589,16.100000381469727,0.8399999737739563,287.41998291015625
2026050500,-40.144290924072266,100.08110809326172,286.352,102918.0,0.1996999979019165,6.399999618530273,0.6299999952316284,278.22998046875
2026050500,30.529939651489258,122.18010711669922,289.703,101815.0,0.1257999986410141,13.960000038146973,0.0,287.3800048828125
2026050500,-60.655128479003906,108.52570343017578,268.577,98668.7,0.3301999866962433,9.710000038146973,1.0,277.29998779296875
2026050500,-24.276296615600586,114.71013641357422,292.897,101949.0,0.1062999963760376,39.349998474121094,0.9099999666213989,295.0299987792969
2026050500,28.331125259399414,126.38812255859375,293.189,101996.0,0.2004999965429306,13.859999656677246,1.0,290.1000061035156
2026050500,-63.22024154663086,85.87859344482422,272.487,100325.0,0.32330000400543213,16.209999084472656,1.0,277.69000244140625
2026050500,-36.193668365478516,91.95797729492188,290.594,102453.0,0.14589999616146088,4.75,0.8499999642372131,274.32000732421875
2026050500,-20.75674057006836,84.62213897705078,297.646,101483.0,0.11749999970197678,49.79999923706055,0.9399999976158142,300.3800048828125
2026050500,-52.35639190673828,140.4896240234375,278.392,99429.5,0.11379999667406082,9.739999771118164,0.0,285.25
2026050500,-32.282188415527344,87.58708953857422,293.742,101948.0,0.16899999976158142,3.2100000381469727,0.19999998807907104,276.47998046875
2026050500,-41.369483947753906,119.86386108398438,286.485,102240.0,0.11639999598264694,14.549999237060547,0.0,286.9100036621094
2026050500,-30.983123779296875,98.59335327148438,292.416,102438.0,0.11669999361038208,8.550000190734863,0.7799999713897705,282.69000244140625
2026050500,23.518871307373047,124.49334716796875,297.453,101598.0,0.19049999117851257,9.289999961853027,0.0,289.7900085449219
2026050500,-17.626447677612305,103.43806457519531,298.881,101379.0,0.13189999759197235,54.46999740600586,0.47999998927116394,300.3699951171875
2026050500,-43.26894760131836,144.1874237060547,285.883,101350.0,0.1281999945640564,7.210000038146973,0.0,279.2699890136719
2026050500,-37.960365295410156,87.44139862060547,291.03,101888.0,0.19139999151229858,4.339999675750732,0.9399999976158142,288.2200012207031
2026050500,-38.43736267089844,106.54452514648438,285.665,103059.0,0.18729999661445618,7.069999694824219,0.0,288.2799987792969
2026050500,-38.3404426574707,101.71467590332031,285.631,103043.0,0.15449999272823334,6.059999942779541,0.29999998211860657,288.2099914550781
2026050500,-39.605072021484375,114.03096008300781,286.163,102812.0,0.12139999866485596,9.809999465942383,0.0,292.94000244140625
2026050500,20.421018600463867,119.30211639404297,299.938,101324.0,0.16290000081062317,14.210000038146973,0.0,295.0799865722656
2026050500,-26.038244247436523,96.82634735107422,294.083,101997.0,0.10830000042915344,35.66999816894531,0.0,298.6600036621094
2026050500,-45.396728515625,135.04856872558594,284.114,100809.0,0.1013999953866005,13.1899995803833,0.8899999856948853,278.3699951171875
2026050500,-19.929964065551758,102.03777313232422,296.791,101541.0,0.11239999532699585,51.209999084472656,1.0,296.97998046875
2026050500,-26.855478286743164,69.02469635009766,296.666,101442.0,0.2238999903202057,23.35999870300293,0.0,298.22998046875
2026050500,-20.826921463012695,102.07097625732422,296.207,101581.0,0.1136000007390976,43.290000915527344,1.0,296.97998046875
2026050900,27.98092269897461,140.82188415527344,297.114,101631.0,0.23759999871253967,15.029999732971191,0.0,290.9599914550781
2026050900,25.90666389465332,118.16734313964844,285.633,101765.0,0.23999999463558197,7.12999963760376,0.0,287.3500061035156
2026050900,20.58417510986328,137.2681427001953,300.541,101502.0,0.16589999198913574,20.459999084472656,0.5999999642372131,294.80999755859375
2026050900,3.9159810543060303,104.08647155761719,301.931,100917.0,0.12700000405311584,56.23999786376953,0.6800000071525574,294.4700012207031
2026050900,27.269180297851562,145.68601989746094,297.987,101813.0,0.18279999494552612,11.710000038146973,0.0,294.2699890136719
2026050900,-37.454750061035156,120.4105224609375,288.552,103379.0,0.13089999556541443,12.569999694824219,0.0,291.8800048828125
2026050900,-37.8519287109375,112.3614273071289,290.645,102388.0,0.13359999656677246,9.869999885559082,0.0,287.739990234375
2026050900,-54.82419967651367,118.27290344238281,278.465,101136.0,0.35510000586509705,7.079999923706055,0.0,278.25
2026050900,21.37790298461914,118.89395904541016,299.338,101418.0,0.18289999663829803,9.90999984741211,0.019999999552965164,292.8800048828125
2026050900,-4.51413106918335,115.04533386230469,301.884,100962.0,0.12189999967813492,57.13999938964844,0.0,300.7099914550781
2026050900,-22.722349166870117,87.05175018310547,295.433,101534.0,0.14329999685287476,40.06999969482422,0.7899999618530273,296.25
2026050900,-12.453204154968262,98.73138427734375,300.758,101092.0,0.11009999364614487,57.56999969482422,0.0,301.92999267578125
2026050900,-66.99018859863281,129.9239044189453,252.633,99142.9,0.527899980545044,8.670000076293945,0.9300000071525574,276.92999267578125
2026050900,-40.604976654052734,113.08088684082031,286.901,102396.0,0.1581999957561493,10.5,0.0,283.7799987792969
2026050900,-11.42740249633789,75.30833435058594,300.525,100843.0,0.13050000369548798,55.40999984741211,0.699999988079071,300.6499938964844
2026050900,28.83633804321289,139.98391723632812,295.261,101643.0,0.22139999270439148,15.899999618530273,0.0,291.4100036621094
2026050900,2.6127030849456787,102.04900360107422,296.915,100961.0,0.10159999877214432,43.20000076293945,0.7699999809265137,299.4700012207031
2026050900,14.219034194946289,142.421875,300.884,101185.0,0.12289999425411224,50.66999816894531,1.0,300.82000732421875
2026050900,-18.94583511352539,110.04756927490234,299.251,101510.0,0.11889999359846115,52.90999984741211,0.8999999761581421,301.22998046875
2026050900,22.23568344116211,119.08906555175781,297.949,101443.0,0.13740000128746033,7.059999942779541,0.0,292.66998291015625
2026050900,-34.56903076171875,97.83460235595703,290.234,101311.0,0.1573999971151352,5.239999771118164,0.8299999833106995,281.1499938964844
2026050900,-42.04490661621094,96.32341003417969,283.97,100576.0,0.18439999222755432,8.65999984741211,1.0,274.4599914550781
2026050900,27.447765350341797,126.05241394042969,294.997,101863.0,0.17430000007152557,8.989999771118164,0.0,285.4700012207031
2026050900,-35.9256706237793,106.71282196044922,291.527,101716.0,0.14350000023841858,8.84000015258789,0.03999999910593033,284.3699951171875
2026050900,28.65435791015625,136.9425811767578,293.812,101696.0,0.1282999962568283,17.299999237060547,0.0,288.6199951171875
2026050900,17.541826248168945,144.18569946289062,300.682,101418.0,0.12929999828338623,39.40999984741211,0.0,297.5400085449219
2026050900,41.87271499633789,174.34434509277344,285.042,101579.0,0.17289999127388,18.709999084472656,0.9300000071525574,289.6499938964844
2026050900,-4.2006354331970215,115.91765594482422,301.399,100975.0,0.0810999944806099,38.89999771118164,1.0,302.32000732421875
2026050900,20.541074752807617,130.1962890625,300.959,101412.0,0.15459999442100525,15.079999923706055,0.0,293.8399963378906
2026050900,-24.39517593383789,77.62425231933594,295.488,101787.0,0.1394999921321869,28.84000015258789,0.11999999731779099,295.5400085449219
2026051200,-35.364662170410156,132.56581115722656,290.166,103042.0,0.09999999403953552,21.40999984741211,0.5199999809265137,288.1499938964844
2026051200,27.572338104248047,144.5432586669922,297.098,101014.0,0.17799998819828033,23.209999084472656,0.9399999976158142,298.5
2026051200,-37.73863983154297,76.14899444580078,287.199,102008.0,0.25220000743865967,13.399999618530273,0.9699999690055847,289.8899841308594
2026051200,29.177974700927734,138.89752197265625,294.357,101107.0,0.203699991106987,24.51999855041504,0.7799999713897705,287.3500061035156
2026051200,-24.33041763305664,82.64417266845703,295.322,101742.0,0.13819999992847443,44.5,0.0,298.8999938964844
2026051200,2.5756049156188965,140.02699279785156,302.219,100974.0,0.12150000035762787,54.52000045776367,0.6299999952316284,304.2099914550781
2026051200,7.296926021575928,71.72502136230469,302.669,100638.0,0.06520000100135803,40.86000061035156,0.26999998092651367,301.30999755859375
2026051200,-48.055118560791016,134.86146545410156,282.974,103119.0,0.12449999898672104,18.68000030517578,0.6499999761581421,289.07000732421875
2026051200,25.377012252807617,141.41087341308594,298.66,101041.0,0.21899999678134918,32.46999740600586,0.9099999666213989,293.3699951171875
2026051200,-33.594173431396484,119.2011947631836,285.9,102356.0,0.14190000295639038,24.90999984741211,0.0,296.5799865722656
2026051200,-56.76850891113281,93.38312530517578,271.825,99183.4,0.1233999952673912,6.339999675750732,1.0,279.82000732421875
2026051200,30.689830780029297,130.6435089111328,294.621,101204.0,0.1889999955892563,13.59999942779541,0.0,290.6399841308594
2026051200,25.068838119506836,140.8858184814453,299.043,101048.0,0.21930000185966492,33.349998474121094,0.9699999690055847,293.3699951171875
2026051200,-49.8199348449707,86.15019989013672,275.36,100982.0,0.12680000066757202,3.1599998474121094,0.7599999904632568,279.82000732421875
2026051200,-24.168493270874023,85.50111389160156,295.046,101717.0,0.14270000159740448,41.47999954223633,0.550000011920929,297.8699951171875
2026051200,-24.3072452545166,88.08645629882812,294.611,101712.0,0.14000000059604645,43.63999938964844,0.0,297.989990234375
2026051200,-63.443538665771484,163.61521911621094,261.948,100010.0,0.6818999648094177,8.069999694824219,0.5299999713897705,278.42999267578125
2026051200,-46.002803802490234,121.37779235839844,284.674,101009.0,0.14970000088214874,10.5,0.35999998450279236,293.4499816894531
2026051200,-16.334646224975586,79.42961883544922,299.257,100960.0,0.18079999089241028,45.64999771118164,0.41999998688697815,300.6600036621094
2026051200,-15.319613456726074,104.72787475585938,300.239,101258.0,0.12680000066757202,59.59000015258789,1.0,301.9499816894531
2026051200,-41.955684661865234,119.28504943847656,287.757,101392.0,0.13379999995231628,14.679999351501465,0.3199999928474426,291.5099792480469
2026051200,-23.306381225585938,94.5395736694336,295.455,101625.0,0.10509999841451645,40.46999740600586,0.8399999737739563,296.0899963378906
2026051200,-38.1317138671875,115.61198425292969,289.788,101571.0,0.15299999713897705,28.149999618530273,0.0,296.3299865722656
2026051200,-31.507957458496094,113.74212646484375,293.987,102060.0,0.12370000034570694,23.369998931884766,0.8199999928474426,294.41998291015625
2026051200,-35.53719711303711,85.56864166259766,288.164,101639.0,0.1995999962091446,3.990000009536743,0.75,273.0299987792969
2026051200,-25.79167938232422,111.46733093261719,295.98,101928.0,0.0940999984741211,55.369998931884766,0.8499999642372131,298.2599792480469
2026051200,18.327978134155273,126.2549057006836,301.57,100951.0,0.17639999091625214,25.31999969482422,0.0,295.0
2026051200,-1.7206131219863892,115.46404266357422,298.586,100961.0,0.11840000003576279,45.599998474121094,0.6800000071525574,304.25
2026051200,-22.751176834106445,81.31101989746094,296.086,101639.0,0.13130000233650208,32.70000076293945,0.0,300.5199890136719
2026051200,27.079559326171875,149.98046875,298.527,101233.0,0.16249999403953552,21.219999313354492,0.11999999731779099,301.489990234375
2026051600,28.618562698364258,128.37857055664062,296.308,101914.0,0.21089999377727509,20.299999237060547,0.8700000047683716,291.7699890136719
2026051600,28.84525489807129,126.27233123779297,295.476,101932.0,0.1565999984741211,19.049999237060547,0.9300000071525574,289.07000732421875
2026051600,-47.063270568847656,79.87637329101562,282.341,100571.0,0.1589999943971634,6.62999963760376,0.0,287.5299987792969
2026051600,28.124042510986328,147.03016662597656,297.932,101577.0,0.16120000183582306,23.459999084472656,0.4099999964237213,296.67999267578125
2026051600,-10.178389549255371,123.66941833496094,300.515,100919.0,0.12309999763965607,49.619998931884766,0.7699999809265137,303.4700012207031
2026051600,-63.580753326416016,158.9806365966797,274.894,99400.0,0.6304000020027161,5.25,0.699999988079071,277.4100036621094
2026051600,29.246917724609375,143.48800659179688,294.342,101710.0,0.2240999937057495,29.599998474121094,0.8299999833106995,298.8399963378906
2026051600,-45.75505447387695,90.26311492919922,283.507,100795.0,0.15779998898506165,4.489999771118164,0.0,274.7699890136719
2026051600,27.45568084716797,146.93399047851562,298.156,101563.0,0.16429999470710754,25.59000015258789,0.4699999988079071,296.67999267578125
